id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes
chant_005121,Accepit ergo Jesus panes et,001217,1,,F?,I-Ac 693,,092v,1.0,,,feast_0445,genre_a,office_p,source_379,,http://cantus.uwaterloo.ca/chant/171374/,Accepit ergo Jesus panes et cum gratias egisset distribuit discumbentibus,Accepit ergo ihesus panes et cum gratias egisset distribuit discumbentibus | ~Euouae,1---d--d--f---d--dc---f--g---fgh--hg---f---g---h--g--f---f--fg--f---f--f7--f--ef---g--fe--d--d--d---4---h--h--g--f--gh--gf---3,
chant_005141,Accepit ergo Jesus panes et,001217,1,,1,F-Pn lat. 15181,,255r,2.0,,,feast_0445,genre_a,office_v2,source_447,,http://cantus.uwaterloo.ca/chant/409947/,Accepit ergo Jesus panes et cum gratias egisset distribuit discumbentibus similiter et ex piscibus quantum volebat,Accepit ergo ihecuc panes et cum gracias egisset distribuit discumbentibus similiter et ex piscibus quantum volebat | euouae | ~Dixit dominus,1---d--d--f7---d--dc---f--g---fgh--hgg---h---h---hk777--hg--h---gf--g--f---fg--h--g--fe---fg7--fe--d--cd--d---cd--f--e--d---e---dc7---d--de--e---ed--f---efe--d--d7---4---h--h--g--f--gh--g---3---f--gh---h--h--h7---3,
chant_005364,Accessit Jesus ad loculum et,001224,1,,D1,DK-Kk 3449 8o VIII,B,181r,2.0,,,feast_0409,genre_a,office_l,source_196,,http://cantus.uwaterloo.ca/chant/312985/,,,1--c-cd-d--ef-d--dd--d-f-dfddc--f-,
chant_005433,Accessit ad pedes Jesu peccatrix,006016,5,,,D-KA Aug. LX,1.3,127v,3.0,,,feast_1115,genre_r,office_m,source_414,,http://cantus.uwaterloo.ca/chant/617656/,Accessit ad pedes Jesu peccatrix mulier Maria et osculata est et lavit lacrimis et tersit capillis et unxit unguento,Accessit ad pedes ihesu peccatrix mulier maria | et osculata est et lavit lacrimis et tersit capillis et unxit unguento,1---f--hgf-hk-kl--k---h---khg-k--l---kh--k-k---k-k--kh-jhgk-k--k---lk-kijh--jgfgh--kJ---jhgf--df-ghf--f---3---f---kl--k--nlk-hkl--hk---k7---k---f--h---kjh-k--kk--lk-k---k---nmk-ll--k---kjh--jkl-k--khg---k---k-k--k---k--o--mnonmlk-lk-gk-lhgk-lmnm-onm-nmlk-hk-lh-ghf-hjk-kjhgf7-ef--ghjgf---4,
chant_005434,Accessit ad pedes Jesu peccatrix,006016,5,,,A-KN 1012,,022r,26.0,,,feast_1115,genre_r,office_v,source_166,,http://cantus.uwaterloo.ca/chant/285182/,Accessit ad pedes Jesu peccatrix mulier Maria et osculata est et lavit lacrimis et tersit capillis et unxit unguento,Accessit ad pedes iesu peccatrix mulier MARIA et osculata est et lavit lacrimis et tersit capillis et unxit ungento,1---f--hgf-hjkl7--k---hK---khgk--lK---lhl--l---fkk--kjjhgkk--k---lkkjh--hgf--ghjkJ---jhgf--yefjf--f---f---fkl--k7--nlk-hjkl--hk---k---k---f--k---kjhk--kklk--k---k---nmk-lK--k---kjh--hjk-lK--k---kjhk---kL--k---kO7--o-mn-onmlk-nm-gk-lhgk-lnm-onm-nlk-hk-lh-jkf-hk-mlkh-fhk-llK--f---4,
chant_005445,Accessit ad pedes*,006016,5,,,NL-Uu 406,,149v,2.0,,,feast_1115,genre_r,office_v2,source_573,,http://cantus.uwaterloo.ca/chant/495921/,Accessit ad pedes*,Accessit ad pedes,1---f--hgf-hkklK--k---hK---khgk--k---3,
chant_005715,Accipiens Simeon puerum in,001233,3,,C1,DK-Kk 3449 8o [02]II,3,251v,1.0,,,feast_1416,genre_a,office_l,source_292,,http://cantus.uwaterloo.ca/chant/641415/,,,1--g-g-g-kk--h-k-k--h-h-h--h-,
chant_006031,Accipite jucunditatem gloriae vestrae alleluia,g02104,4,,,D-Gsta AB III 9,,131r,1.0,,,feast_0644,genre_in,office_mi,source_435,,http://cantus.uwaterloo.ca/chant/685284/,Accipite jucunditatem gloriae vestrae alleluia gratias agentes deo alleluia qui vos ad caelestia regna vocavit alleluia alleluia alleluia,Accipite iocunditatem glorie vestre alleluia gracias agentes deo alleluia qui vos ad celestia regna vocavit alleluia alleluia alleluia,1---gd--fgh--g--g---gd--f--ghg7--hkh--ghg---ghk--k--kkh---h-kkh-kgh--f---fgh--g--egf--fff---ge7--f--g---g--gh--g---hkg--ffge---g--g--ghkhf-hg--gh---d---gg7---h---g--hgh--fg--ge---fg--f---fff--df-gfef--f---f--g--f--gf-fd7---f--f--ff-ghgd--gff---f--gf-fd-gfe--eegff--fe7---4,
chant_006105,Accipite spiritum sanctum quorum remiseritis,001234,7T,,1,F-Pn lat. 12044,B,119v,9.0,,,feast_0467,genre_a,office_l,source_014,,http://cantus.uwaterloo.ca/chant/401275/,Accipite spiritum sanctum quorum remiseritis peccata remittuntur eis alleluia,Accipite spiritum sanctum quorum remiseritis peccata remittuntur eis alleluia | Seuouae,1---c--fe-fg--defedcd--dc---f--e7--f---gh--g---g--g---g--f--hk--k--kj---hg--h--g---g--e--gh--g---fe--cd---e--d--c--c---4---g--g--h--g--f--ed---3,
chant_006153,Accusatus non negavi nomen sanctum,006896b,4,,,F-Pn lat. 12044,01,173r,6.0,,,feast_1056,genre_v,office_m,source_014,,http://cantus.uwaterloo.ca/chant/402401/,Accusatus non negavi nomen sanctum tuum et interrogatus,Accusatus non negavi nomen sanctum tuum et interrogatus | Te dominum,1---h--h--gh--gf-ghg-hgfe-f-fe---dG---g--hIj--h---g--gF---gH--gf7---efgf--fe---f---f--efg--f--edc-def--ed-ffe---3---c---d-ff--f--f7---3,
chant_006283,Ad annuntiandum mane misericordiam tuam,006021,r,,,D-KA Aug. LX,,231r,6.0,,,feast_0761,genre_r,office_l,source_414,,http://cantus.uwaterloo.ca/chant/619857/,Ad annuntiandum mane misericordiam tuam,Ad annuntiandum mane misericordi{am} tuam,1---f---f--f--f--g--f---gh--hg---fg--h--g--fE--g---6------6---g--f---4,
chant_006312,Ad annuntiandum mane misericordiam tuam,006021,r,,,CH-E 611,,150v,15.0,,,feast_0761,genre_r,office_l,source_564,,http://cantus.uwaterloo.ca/chant/231114/,Ad annuntiandum mane misericordiam tuam,Ad annuntiandum mane | misericordiam tuam,1---f---f--f--f--g--f---gh--hg---3---fg7--h--g--f--f--gH---g--f---4,
chant_006353,Ad caenam agni*,008249,*,,,I-Ac 693,,130v,21.0,,,feast_0511,genre_h,office_v2,source_379,,http://cantus.uwaterloo.ca/chant/171828/,Ad caenam agni*,Ad cenam agni,1---6------6---3,
chant_006379,Ad cenam agni providi et,008249,,,,F-Pn lat. 15181,,312v,4.0,,,feast_0623,genre_h,office_v2,source_447,,http://cantus.uwaterloo.ca/chant/410545/,Ad cenam agni providi et stolis albis candidi post transitum maris Rubri Christo canamus principi,Ad cenam agni providi et stolis albis candidi post transitum maris rubri xpisto canamus principi,1---h---hj-kj--hg---h--gf---g--g--h---h7---k--l---l--k---l--kj--hgg---f---gh7--h--h---f--g---f--edc---g--g---f7--g--ghg---f--e--d7---3,
